example_id,batch,split,text,annotator1_t1_label,annotator2_t1_label,annotator3_t1_label,annotator1_t2_label,annotator2_t2_label,annotator3_t2_label,label
1,exploration,train,"The PLO accepted all US and Israeli conditions for peace and signed the Oslo Peace Accord in 1993, in return for an end to Israeli occupation. 30 years have passed, and the Palestinians regained nothing. On the contrary, Israel occupied more land, built more settlements, increased its military presence, and violated holy sites._x000D_
Also, the Palestinians in Gaza launched a peaceful initiative called the March of Return by walking to the Israeli military fence surrounding Gaza demanding an end to the suffocating blockade. Israeli snipers responded by killing hundreds of marchers and injuring over 36,000; the marchers posed no eminent threat to the Israeli forces._x000D_
For the Palestinians, peace treaties and peaceful marches only exacerbated their loss and perpetuated their suffering. It is no surprise that they will resort to all available means, including armed struggle.","[0, 1, 1, 0, 1, 0, 1, 1, 1, 0]","[0, 1, 1, 0, 0, 0, 1, 1, 0, 0]","[0, 1, 1, 0, 0, 0, 1, 1, 0, 0]",5,1,3,"[0, 1, 1, 0, 0, 0, 1, 1, 0, 0]"
2,exploration,train,"during the War of Independence, many Arab villages_x000D_
were destroyed and about 700,000 people were displaced._x000D_
That's what happens when you try to wipe out your neighbors._x000D_
You might well lose and have to pay the price._x000D_
At the same time, 800,000 Jews were brutally expelled from Muslim countries._x000D_
For some reason, no one cares about them or wants to tell their story.","[0, 0, 0, 0, 0, 0, 0, 1, 1, 0]","[0, 0, 0, 1, 0, 0, 0, 1, 1, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,4,4,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 0]"
3,exploration,train,"The Israelis frequently condemn the Palestinian side (such as the current ongoing Hamas attack) for terrorist attacks and whatnot - unsurprisingly so, given that Israel is their side (just like how America, of course, condemned the 9/11 attacks.) But I am not convinced that, if the roles were reversed, that the Israelis would be behaving any differently.

Say that Israel were squelched and prevented from being a formally-recognized nation state on terms that it wanted (yes, the Palestinians have been offered two-state solutions, but none that they found satisfactory), and also that it was facing continuous blockade, in poverty, were under the control of a much bigger, stronger, richer opponent of the opposing religion, and that this went on for decades with no end in sight.

I don't believe, for one moment, that the Israelis would say ""Well, we'll just be content and stay like this forever and always pursue peaceful solutions even though we've found that peace gets us nothing."" The Israelis would be doing something just like what Gaza Hamas is doing right now. And in fact, that's similar to what Israel did, in fact, do. The Lehi (Stern Gang) used terrorist attacks to help get the nation of Israel formed in the first place, back in the 1940s.

So the viewpoint I am trying to get changed is this: If the Israelis were in the shoes of the Palestinians, they'd behave the same. And in fact, most people in the world would, too.","[0, 1, 0, 0, 1, 0, 0, 0, 1, 0]","[0, 1, 0, 0, 1, 0, 0, 1, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",4,4,3,"[0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
4,exploration,train,"Firstly, before the 'war', Antizionists became antizionists because they viewed Israel as a colonial project, an apartheid state and beleived that people in Gaza lived in an open air prison. You may disagree with that characterisation but you have to admit that zionsism at least resembles a colonial project, the west bank resembles apartheid and gaza resembles an open air prison. It may not actually be any of those things but it is pretty obvious why some people characterise it this way. Even if you disagree with the framing, you have to see why some people might see it that way.

Furthermore, Israel is not being held to a standard other countries are not held too. I can't think of another country where two sets of people live on the same land but one group lives under martial law (the west bank) and has essentially different freedoms of movements and laws applied to them. I mean this obviously occurred in South Africa and Jim Crow but these were rightfully denounced and abolished by the western world (eventually).

I can't think of another example of an area where an entire population (who are native to the land) are put into (what could be considered) an open-air prison like Gaza. Maybe north korea but not like they're very popular in the west.

There are other countries that started as colonial projects (Australia, South Africa and many north/south American countries) but they do not still persecute the native people as much as the Palestinians are persecuted today. The countries mentioned don't have anything that resembles an open air prison, the indigenous people's movements are not restricted in the same way and the natives don't live under martial law. Is there discrimination in these countries against the native people? Of course. But these native people have far more freedom than Palestinians. The native people in these countries are also not still being forcefully displaced (at least in countries like the US and Australia but maybe you could make this argument for Brazil when the fascist cunt Bolsanaro was in power).

Now most people who are showing support for the Palestinians today are doing so because of this 'war'. In comparison, Palestinians protests were much much smaller before the 'war' and most people weren't any more invested in the Palestinians than any other persecuted people. So why suddenly is everyone so passionate about Palestinians now?","[0, 1, 0, 0, 0, 0, 0, 1, 1, 0]","[0, 1, 1, 0, 0, 0, 0, 1, 1, 0]","[0, 1, 0, 0, 0, 0, 0, 1, 0, 0]",1,2,5,"[0, 1, 0, 0, 0, 0, 0, 1, 1, 0]"
5,exploration,train,Because they took hostages and because they struck first therefore all the death that follows from this is on them simply does not correct,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 1, 0, 0]",1,1,1,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
6,exploration,train,"It's simple, most people who are against this current 'war' are not against it because they 'support terrorism' or are antisemetic. They are against it because they beleive 2% of the population has been killed, 15,000 children have been killed (more than all wars in the last 5 years combined) and Israel is preventing food and water from reaching Gaza. You may not beleive the Gaza Health Ministry numbers, you may believe that the civilian deaths are from human shields, you may think that collateral damage is an unfortunate necessity and that Israel does everything it can to prevent civilian deaths. That's fine but you can't say everyone who doesn't agree with that is anti semetic or a terrorist supporters. I could literally give evidence to justify both arguments and you can't just call everyone who disagrees with you a racist/terrorist. You may think they are wrong but that doesn't mean they are wrong because they are antisemitic.","[0, 1, 1, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 1, 0, 0, 0, 0, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",4,2,4,"[0, 0, 1, 0, 0, 0, 0, 1, 1, 0]"
7,exploration,train,"What your saying is Palestine can’t start anything

even though Israel has been doing it for many
years, make it make sense! What you expect
people to get punch and not get revenge sooner
or later. If Palestine attacks it's considered
terrorism but if Israel attacks it's considered self
defense 4. If you have any logic in your small
head you'll understand but unfortunately people
fall through the media even though it's always
controlled and full of one sided conversations.","[0, 1, 0, 0, 1, 0, 0, 1, 0, 0]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 1, 0, 0, 1, 0, 0, 0, 0, 0]",2,3,2,"[0, 1, 0, 0, 1, 0, 0, 0, 0, 0]"
8,exploration,train,"Israel declared itself a country and included all the Palestinian Arabs that wanted to join. In response to its Declaration of Independence, it was invaded by a bunch of Arab nations who sought to destroy the newly recreated Jewish state. At the end of the war, Israel needed to have borders so it defined its borders. People outside the borders were outside the borders. They were free to create a just equitable society if they wished. So I would disagree with your premise that anyone stole anything.","[1, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",3,4,4,"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
9,exploration,train,"Gaza has giant luxerious resorts, cafés,
universities, hospitals, giant mosques, hotels,
nightclubs, markets, cinemas, kindergartens,
fashion shops, etc.. Palestinians from all over the
world go visit family and vacation there. Gazans
still claim refugee status after 70 yrs. The
population has exploded. Genocide my foot.
There is more than only the border to Israel: the
border to Egypt. Nobody asks why Egypt won't
open it..","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",4,4,3,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
10,exploration,train,"Ze’ev Jabotinsky, the founder of Revisionist Zionism, self-identified as a colonizer. He compared the Palestinian Arabs to the native Americans and the Zionists to Hernán Cortes in his work The Iron Wall","[0, 0, 1, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",4,4,3,"[0, 0, 1, 0, 0, 0, 1, 0, 0, 0]"
